sep=,
type,sourceName,sourceVersion,productType,device,startDate,endDate,value,HKMetadataKeyAudioExposureDuration,HKMetadataKeyAudioExposureLevel
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,Ege,16.1.1,"iPhone12,1",,2023-03-29 07:56:29 +0000,2023-03-30 17:08:22 +0000,momentaryLimit,8095.94 s,92.5041 dBASPL
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,Ege,16.1.1,"iPhone12,1",,2023-03-30 17:08:22 +0000,2023-04-01 15:04:04 +0000,momentaryLimit,10700.8 s,91.2934 dBASPL
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,Ege,16.1.1,"iPhone12,1",,2023-04-01 15:04:04 +0000,2023-04-08 05:24:50 +0000,momentaryLimit,16118.7 s,89.5127 dBASPL
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,Ege,16.1.1,"iPhone12,1",,2023-04-08 05:24:50 +0000,2023-04-08 13:12:14 +0000,momentaryLimit,7908.87 s,92.6083 dBASPL
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,Ege,16.1.1,"iPhone12,1",,2023-04-08 13:12:14 +0000,2023-04-10 17:46:51 +0000,momentaryLimit,10351.6 s,91.4354 dBASPL
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,Ege,16.1.1,"iPhone12,1",,2023-04-10 17:46:51 +0000,2023-04-15 18:17:01 +0000,momentaryLimit,10613.4 s,91.3266 dBASPL
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,Ege,16.1.1,"iPhone12,1",,2023-04-22 05:53:00 +0000,2023-04-29 05:53:40 +0000,momentaryLimit,10339.4 s,91.4397 dBASPL
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,Ege,16.1.1,"iPhone12,1",,2023-04-29 05:53:40 +0000,2023-04-29 17:10:05 +0000,momentaryLimit,6982.69 s,93.1435 dBASPL
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,Ege,16.1.1,"iPhone12,1",,2023-04-29 17:10:05 +0000,2023-05-04 12:20:20 +0000,momentaryLimit,9089.7 s,91.9991 dBASPL
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,Ege,16.1.1,"iPhone12,1",,2023-05-04 12:20:20 +0000,2023-05-07 12:53:54 +0000,momentaryLimit,14762.3 s,89.8935 dBASPL
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,Ege,16.1.1,"iPhone12,1",,2023-05-07 12:53:54 +0000,2023-05-13 05:37:46 +0000,momentaryLimit,19068.2 s,88.7946 dBASPL
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,Ege,16.1.1,"iPhone12,1",,2023-05-13 05:37:46 +0000,2023-05-13 14:58:57 +0000,momentaryLimit,7970.28 s,92.8851 dBASPL
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,Ege,16.1.1,"iPhone12,1",,2023-05-13 14:58:57 +0000,2023-05-17 11:32:55 +0000,momentaryLimit,11874 s,90.8382 dBASPL
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,Ege,16.1.1,"iPhone12,1",,2023-05-20 10:27:50 +0000,2023-05-27 10:28:01 +0000,momentaryLimit,8442.12 s,92.3214 dBASPL
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,Ege,16.1.1,"iPhone12,1",,2023-05-27 10:28:01 +0000,2023-05-27 15:07:20 +0000,momentaryLimit,6882.87 s,93.2415 dBASPL
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,Ege,16.1.1,"iPhone12,1",,2023-06-06 08:15:38 +0000,2023-06-13 08:15:51 +0000,momentaryLimit,11436.2 s,91.0021 dBASPL
